COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg,Region
ELLAMAR,175.750000000000000,0.000000000000000,0.000000000000000,60.895560000000003,-146.697499999999991,175.750000000000000,SCAK
EMMONAK,50277.868421052633494,10333.157894736841627,0.000000000000000,62.785414500000002,-164.552448499999997,60611.026315789473301,West
EXCURSION INLET,240.500000000000000,0.000000000000000,0.000000000000000,58.414564700000000,-135.345711399999999,240.500000000000000,SEAK
FALSE PASS,3340.546626984127215,0.000000000000000,0.000000000000000,54.872441100000003,-163.334267899999986,3340.546626984127215,SCAK
FRITZ CREEK,274.542800453514758,0.000000000000000,1482.086167800453495,59.746819400000000,-151.288707600000009,1756.628968253968196,SCAK
GAMBELL,402.615646258503375,273925.714285714260768,0.000000000000000,63.777201099999999,-171.725710099999986,274328.329931972781196,West
GAME CREEK,541.496598639455783,0.000000000000000,1063.945578231292529,58.050104800000000,-135.512547500000011,1605.442176870748426,SEAK
GOLOVIN,8655.289473684209952,723.684210526315837,0.000000000000000,64.563666900000001,-163.001003099999991,9378.973684210526699,West
GOODNEWS BAY,11356.566666666665697,108.000000000000000,0.000000000000000,59.128712600000000,-161.575656199999997,11464.566666666665697,West
GUSTAVUS,1682.372661564625787,0.000000000000000,0.000000000000000,58.422403500000001,-135.763034500000003,1682.372661564625787,SEAK
HAINES,39226.310544217689312,0.000000000000000,10477.097505668933081,59.260868100000003,-135.472371000000010,49703.408049886624212,SEAK
HALIBUT COVE,47.250000000000000,0.000000000000000,0.000000000000000,59.573671800000000,-151.224192399999993,47.250000000000000,SCAK
HOLLIS,778.217049319727835,0.000000000000000,3741.496598639455442,55.518490499999999,-132.744791700000007,4519.713647959183618,SEAK
HOMER,2841.865491651205957,95.818181818181813,0.000000000000000,59.639984900000002,-151.511233699999991,2937.683673469387941,SCAK
HOONAH,13758.830473098330913,207.454545454545467,24028.117913832200429,58.110819800000002,-135.425470899999993,37994.402932385077293,SEAK
HOOPER BAY,29706.191501997625892,17322.857142857141298,0.000000000000000,61.535468999999999,-166.121735300000012,47029.048644854767190,West
HOPE,161.258624878522852,0.000000000000000,275.283446712018133,60.886124500000001,-149.632991199999992,436.542071590541013,SCAK
HOUSTON,365.597222222222229,0.000000000000000,0.000000000000000,61.616514700000003,-149.771769400000011,365.597222222222229,SCAK
HYDABURG,10099.033419717092329,122.000000000000000,18454.421768707481533,55.204120199999998,-132.818341000000004,28675.455188424573862,SEAK
HYDER,713.455215419501087,0.000000000000000,0.000000000000000,55.983312800000000,-130.041841500000004,713.455215419501087,SEAK
IVANOF BAY,2418.750000000000000,0.000000000000000,0.000000000000000,55.918199299999998,-159.493298399999986,2418.750000000000000,SCAK
JUNEAU,25126.708668315812247,120.272727272727266,0.000000000000000,58.372700399999999,-134.178780700000004,25246.981395588540181,SEAK
KAKE,11151.953231292516648,57.909090909090907,7477.097505668933991,56.977698300000000,-133.904392800000011,18686.959827870541631,SEAK
KAKTOVIK,1734.875650260104067,1146.470588235294144,0.000000000000000,70.121206900000004,-143.629530600000010,2881.346238495398211,North
KARLUK,945.262838468720815,0.000000000000000,309.297052154195001,57.590375799999997,-154.364948499999997,1254.559890622915873,SCAK
KASAAN,902.992171471763299,14.000000000000000,1212.698412698412767,55.556100100000002,-132.399387800000000,2129.690584170175953,SEAK
KASILOF,644.406525573192198,0.000000000000000,0.000000000000000,60.322082799999997,-151.229245700000007,644.406525573192198,SCAK
