COMMUNITY,Fish_kg,MarineMammals_kg,MarineInverts_kg,LATITUDE,LONGITUDE,total_kg
TYONEK,10973.031477503282,0,112.47165532879818,61.1075868,-151.396552,11085.50313283208
UGANIK BAY,24,0,0,57.67059,-153.51453,24
UGASHIK,1274.109375,0.875,0,57.6475267,-156.9948993,1274.984375
UNALAKLEET,56084.5,6047.619047619048,0,63.8933067,-160.7966449,62132.119047619046
UNALASKA,13947.350992063492,0,22738.77551020408,53.9133124,-166.5250803,36686.12650226757
UPPER KALSKAG,62483.78947368421,0,0,61.5391395,-160.3487161,62483.78947368421
VALDEZ,14003.743815708101,504.6363636363636,7874.074074074074,61.0833672,-146.3202839,22382.45425341854
VENETIE,10364.500881834216,0,0,67.0206083,-146.3751552,10364.500881834216
VOZNESENKA,4669.841269841269,0,410.88435374149657,59.79457,-151.09864,5080.725623582766
WAINWRIGHT,41.19444444444444,21302.777777777777,0,70.6473906,-160.0015329,21343.972222222223
WALES,433.72072162198214,5022.941176470588,1607.7097505668933,65.6141935,-168.081118,7064.371648659464
WASILLA,32832.59021335807,0,0,61.5752398,-149.4568398,32832.59021335807
WHALE PASS,462.19795918367345,0,3785.9410430839,56.1266992,-133.1976855,4248.139002267573
WHITE MOUNTAIN,12073.902777777777,1925,0,64.6818305,-163.411928,13998.902777777777
WHITESTONE LOGGING CAMP,765.9863945578231,0,1520.6349206349205,58.0653797,-135.4204774,2286.6213151927436
WHITTIER,398.1848508634223,0,1131.5192743764171,60.7766828,-148.6646423,1529.7041252398394
WILLOW,1594.5,0,0,61.8125227,-149.8559936,1594.5
WISEMAN,130.32414965986393,0,0,67.4814274,-150.1607236,130.32414965986393
WRANGELL,10681.70270489148,53.333333333333336,0,56.2791206,-132.0403255,10735.036038224815
YAKUTAT,33618.580447330445,377.3636363636364,15621.315192743763,59.5635878,-139.6061905,49617.25927643784
YES BAY,900,0,0,55.91333,-131.79361,900
